"Id";"代号";"封装";"数量";"名称";"供应商和REF";
1;"C8,C9";"C_0402";2;"1uF";;;
2;"C16,C17";"C_0402";2;"100nF";;;
3;"C18";"C_0402";1;"10nF";;;
4;"C19,C20";"C_0402";2;"22pF";;;
5;"D1,D4";"LED_0402";2;"LED-Blue";;;
6;"D2,D5";"LED_0402";2;"LED-Green";;;
7;"D3";"LED_0402";1;"LED-GREEN";;;
8;"J12";"USB_Micro-B";1;"USB";;;
9;"J30,J31,J3,J6,J9,J11,J1,J4,J5";"Pin_Header_Straight_1x01_Pitch2.54mm";9;"Header_1x1";;;
10;"Q1";"SOT-723";1;"CJ;MMBT3904M";;;
11;"R1,R2,R13,R18,R21";"R_0402";5;"100k";;;
12;"R15,R16,R17,R19,R22,R23,R28";"R_0402";7;"10k";;;
13;"R20";"R_0402";1;"DNP 10k";;;
14;"R25,R26,R27";"R_0402";3;"1k";;;
15;"R29";"R_0402";1;"36k";;;
16;"R30,R31";"R_0402";2;"DNP 0R_10nF_RES";;;
17;"U3";"SOT-23-5";1;"TPS782";;;
18;"U4";"LQFP-48_7x7mm_Pitch0.5mm";1;"STM32F103C8";;;
19;"X3";"Crystal_SMD_3pin_3.2x1.5mm";1;"8MHz";;;
20;"J2";"JST_SHL_SM06B-SHLS-TF_06x1.00mm_Angled";1;"JST1.0 1x6";;;
21;"LOGO1";"LOGO_PINNO_PIC_50x50";1;"";;;
